"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"Germany","4","0","4","5","0","9","25","63","71","159","0","97","1,023","82","1,365"
"Gibraltar","0","0","0","0","0","0","9","10","41","60","0","27","543","31","661"
"Greece","4","0","4","10","1","15","92","159","264","515","0","165","1,605","261","2,550"
"Greenland","1","0","1","0","0","1","2","5","20","27","0","9","219","19","275"
"Guernsey","0","0","0","0","0","0","1","1","14","16","0","3","201","12","232"
"Holy See (Vatican City State)","0","0","0","0","0","0","0","0","2","2","0","3","23","2","30"
"Hungary","0","0","0","0","0","0","12","29","44","85","0","59","747","47","938"
"Iceland","1","0","1","0","0","1","5","7","22","34","0","21","359","26","441"
"Ireland","1","0","1","0","0","1","11","10","42","63","0","39","805","64","972"
"Isle of Man","0","0","0","0","0","0","1","2","5","8","0","3","80","6","97"
"Italy","3","0","3","6","0","9","62","148","198","408","0","215","1,712","256","2,594"
"Jersey","0","0","0","0","0","0","1","1","15","17","0","2","209","12","240"
"Latvia","0","0","0","0","0","0","2","6","29","37","0","39","582","16","674"
"Liechtenstein","0","0","0","0","0","0","0","3","7","10","0","25","424","8","467"
"Lithuania","0","0","0","0","0","0","2","4","23","29","0","35","564","15","643"
"Luxembourg","0","0","0","0","0","0","2","3","7","12","0","23","482","12","529"
"Malta","0","0","0","0","0","0","12","13","41","66","0","28","572","43","709"
"Monaco","0","0","0","0","0","0","10","9","30","49","0","15","394","26","484"
"Montenegro","1","0","1","0","0","1","25","65","69","159","0","90","1,057","78","1,385"
"Netherlands","1","0","1","0","0","1","9","6","40","55","0","57","806","37","956"
"North Macedonia","2","0","2","2","0","4","20","45","69","134","0","61","767","50","1,014"
"Norway","0","0","0","0","0","0","10","12","46","68","0","53","710","29","860"
"Poland","1","0","1","0","0","1","3","24","42","69","0","60","813","37","980"
"Portugal","6","0","6","17","0","23","116","121","160","397","0","163","1,752","313","2,631"
"Romania","2","0","2","3","0","5","25","54","79","158","0","80","995","76","1,311"
"San Marino","0","0","0","0","0","0","1","0","4","5","0","5","66","4","80"
"Serbia","0","0","0","0","0","0","15","40","54","109","0","65","901","27","1,102"
"Slovakia","0","0","0","0","0","0","11","23","39","73","0","64","779","45","961"
"Slovenia","0","0","0","0","0","0","18","47","118","183","0","62","1,145","83","1,473"
"Spain","2","0","2","11","0","13","88","186","255","529","0","292","2,253","486","3,562"
